candidate_id,rank,score,reasoning
CAND_0079387,1,0.7828,"6.9 years as AI Engineer at Microsoft; strong JD fit on search engineering, embedding/retrieval, ranking/IR (6/8 must-have skill groups matched). Open to work, active 61d ago, 81% recruiter response rate, notice 30d. Concern(s): location is Trivandrum, Kerala."
CAND_0018499,2,0.7699,"7.2 years as Senior Machine Learning Engineer at Zomato; strong JD fit on embedding/retrieval, ranking/IR, core ML (5/8 must-have skill groups matched). Open to work, active 43d ago, 61% recruiter response rate, notice 15d."
CAND_0064326,3,0.7588,"7.6 years as Search Engineer at Sarvam AI; strong JD fit on embedding/retrieval, ranking/IR, core ML (6/8 must-have skill groups matched). Open to work, active 35d ago, 94% recruiter response rate."
CAND_0046064,4,0.7539,"8.9 years as Senior NLP Engineer at Salesforce; strong JD fit on embedding/retrieval, ranking/IR, core ML (5/8 must-have skill groups matched). Open to work, active 60d ago, 78% recruiter response rate, notice 30d. Concern(s): location is Coimbatore, Tamil Nadu."
CAND_0036184,5,0.7387,"6 years as Recommendation Systems Engineer at CRED; strong JD fit on search engineering, embedding/retrieval, core ML (4/8 must-have skill groups matched). Open to work, active 30d ago, 90% recruiter response rate, notice 30d. Concern(s): location is Trivandrum, Kerala."
CAND_0071974,6,0.7325,"7.8 years as Senior AI Engineer at Netflix; strong JD fit on embedding/retrieval, ranking/IR, core ML (5/8 must-have skill groups matched). Open to work, active 70d ago, 76% recruiter response rate. Concern(s): location is Vizag, Andhra Pradesh."
CAND_0027691,7,0.7314,"6.5 years as NLP Engineer at Haptik; strong JD fit on embedding/retrieval, core ML, vector DB/search infra (4/8 must-have skill groups matched). Open to work, active 86d ago, 68% recruiter response rate, notice 15d."
CAND_0046525,8,0.7255,"6.1 years as Senior Machine Learning Engineer at Genpact AI; strong JD fit on embedding/retrieval, ranking/IR, core ML (5/8 must-have skill groups matched). Open to work, active 33d ago, 88% recruiter response rate."
CAND_0077337,9,0.7202,"7 years as Staff Machine Learning Engineer at Paytm; strong JD fit on embedding/retrieval, ranking/IR, vector DB/search infra (5/8 must-have skill groups matched). Open to work, active 30d ago, 95% recruiter response rate. Concern(s): location is Kochi, Kerala."
CAND_0055905,10,0.7200,"8.1 years as Senior Machine Learning Engineer at Flipkart; strong JD fit on search engineering, embedding/retrieval, ranking/IR (5/8 must-have skill groups matched). Open to work, active 39d ago, 87% recruiter response rate, notice 30d. Concern(s): location is London, UK; no GitHub linked."
CAND_0062247,11,0.7153,"7.3 years as AI Engineer at Google; strong JD fit on search engineering, ranking/IR, core ML (5/8 must-have skill groups matched). Open to work, active 63d ago, 78% recruiter response rate, notice 30d. Concern(s): location is Kochi, Kerala."
CAND_0028793,12,0.7145,"7.2 years as Search Engineer at Google; strong JD fit on embedding/retrieval, ranking/IR, core ML (5/8 must-have skill groups matched). Open to work, last active 73d ago; response rate 57%. Concern(s): location is Trivandrum, Kerala; notice period is 120 days."
